color,Count
Beige,73
Black,623
Brown,88
Burgundy,69
Dark blue,465
Dark green,34
Dark grey,1054
Light blue,183
Light green,13
Light grey,718
Other,766
Red,709
Turuncu,19
White,4691
Yellow,31
